Country,Clicks,Impressions,CTR,Position
United States,3,1541,0.19%,25.69
Israel,1,8,12.5%,8
Barbados,1,1,100%,7
Canada,0,56,0%,14.89
United Kingdom,0,53,0%,37.13
India,0,35,0%,15.14
Australia,0,30,0%,18.73
Brazil,0,25,0%,9.08
Netherlands,0,23,0%,8.74
Germany,0,12,0%,8
France,0,11,0%,6.82
Argentina,0,9,0%,10.89
Vietnam,0,9,0%,20.33
Mexico,0,6,0%,9
Italy,0,6,0%,9.67
Indonesia,0,6,0%,11.67
Nigeria,0,5,0%,5.4
Saudi Arabia,0,5,0%,7.2
China,0,5,0%,8.4
Poland,0,4,0%,8
Singapore,0,4,0%,9.5
Thailand,0,4,0%,20
Switzerland,0,3,0%,6.33
Taiwan,0,3,0%,6.67
United Arab Emirates,0,3,0%,12
Iran,0,3,0%,13
Serbia,0,2,0%,5.5
Peru,0,2,0%,8
Japan,0,2,0%,8.5
Philippines,0,2,0%,8.5
Romania,0,2,0%,8.5
Ukraine,0,2,0%,11
Spain,0,2,0%,15
Chile,0,2,0%,19.5
South Africa,0,2,0%,38.5
Palestine,0,1,0%,3
Syria,0,1,0%,4
Norway,0,1,0%,5
Turkey,0,1,0%,6
Bulgaria,0,1,0%,7
Hong Kong,0,1,0%,7
Malta,0,1,0%,8
Russia,0,1,0%,8
Iraq,0,1,0%,9
Jamaica,0,1,0%,9
Montenegro,0,1,0%,9
Portugal,0,1,0%,9
Colombia,0,1,0%,10
Egypt,0,1,0%,11
Paraguay,0,1,0%,11
Uruguay,0,1,0%,11
Czechia,0,1,0%,12
Bosnia & Herzegovina,0,1,0%,13
Cuba,0,1,0%,13
Lithuania,0,1,0%,13
Albania,0,1,0%,20
South Korea,0,1,0%,48